ClientIP,ClientRequestMethod,ClientRequestPath,ClientRequestURI,ClientCountry,ClientDeviceType,ClientRequestBytes,ClientRequestHost,ClientRequestReferer
129.53.13.62,GET,/drop,/drop,us,desktop,6421,moore.com,http://www.hernandez.com/
8b5c:57a:f46a:624d:b65:c504:1c4d:52fe,GET,/api/v1/users?search=; DROP TABLE users;--,/million/myself/she,in,mobile,5141,walters-thompson.com,http://www.owens.com/
165.21.55.43,GET,/drop,/drop,in,tablet,4010,porter.biz,http://www.hernandez.com/
62.215.87.106,GET,/api/v1/users?search=; DROP TABLE users;--,/decade/draw/past/every,in,desktop,4075,porter.biz,http://www.hernandez.com/
76.27.229.11,GET,/api/v1/users?search=; DROP TABLE users;--,/degree/attorney/family/parent,in,mobile,2778,porter.biz,http://www.hernandez.com/
959a:2687:51e2:a5d3:9029:8974:b960:22a4,GET,/drop/buy/fear,/drop/buy/fear,in,mobile,2836,porter.biz,http://www.hernandez.com/
123.147.31.210,GET,/drop,/drop,us,tablet,6444,moore.com,http://www.hernandez.com/
133.157.216.48,GET,/drop,/drop,us,tablet,6567,moore.com,http://www.hernandez.com/
b11c:49b9:627:c04f:bd98:50f7:2ceb:8936,GET,/api/v1/users?search=; DROP TABLE users;--,/close,in,tablet,3494,porter.biz,http://www.hernandez.com/
88.190.191.62,GET,/drop,/drop,us,tablet,6587,moore.com,http://www.hernandez.com/
187.109.49.123,GET,/drop,/drop,us,desktop,6479,moore.com,http://www.hernandez.com/
ff0c:de44:8add:b298:a6a5:5f69:862c:2373,GET,/require/program/drop,/require/program/drop,in,mobile,2809,porter.biz,http://www.hernandez.com/
126.173.54.146,GET,/api/v1/users?search=; DROP TABLE users;--,/page/government,in,mobile,2737,porter.biz,http://www.hernandez.com/
6b2e:c119:c6f4:8a4b:be1e:e945:7efc:bafc,GET,/api/v1/users?search=; DROP TABLE users;--,/weight/start,in,mobile,5540,walters-thompson.com,http://www.owens.com/
cacc:5738:21f3:aae6:3deb:463f:da6:1c77,GET,/api/v1/users?search=; DROP TABLE users;--,/support/audience,in,desktop,2649,lawson.com,http://johnson.org/
a086:34c7:ef72:7c27:726e:8372:fd42:4087,GET,/well/past/drop/book,/well/past/drop/book,in,mobile,5373,walters-thompson.com,http://www.owens.com/
2693:86f9:7dd3:3eef:49fc:fbc5:bdcf:9822,GET,/api/v1/users?search=; DROP TABLE users;--,/consumer,in,desktop,5055,marshall-odonnell.net,http://johnson.org/
189.69.74.46,GET,/drop,/drop,us,desktop,6478,moore.com,http://www.hernandez.com/
8f3:9bed:17be:7c38:ad44:b5b5:cc85:d44d,GET,/api/v1/users?search=; DROP TABLE users;--,/long,in,mobile,2810,porter.biz,http://www.hernandez.com/
162.234.123.76,GET,/api/v1/users?search=; DROP TABLE users;--,/her/product,in,desktop,3090,davenport.biz,https://wells-mueller.org/
50f0:9397:c528:51a0:a26d:e9a3:518d:4bf,GET,/drop,/drop,in,tablet,4057,porter.biz,http://www.hernandez.com/
128.37.64.180,OPTIONS,/api/v1/users?search=; DROP TABLE users;--,/cultural/pay,in,mobile,3155,porter.biz,http://www.owens.com/
68.20.13.60,GET,/drop,/drop,in,tablet,4021,porter.biz,http://www.hernandez.com/
